feature,missing_value,unique_value,matrix_correlation,shapley_value,xgboost,random_forest
tpay_fp_tc_n_app_qty_90d,0.4032895575672574,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_n_app_distinct_users_90d,0.4032895575672574,not_unique,,0.0,0.0,0.0
tpay_as_payer_fp_tc_n_app_amt_7d,0.4058396021930384,not_unique,0.0,0.018490799,0.0,0.0
tpay_as_payer_fp_tc_n_app_distinct_users_7d,0.4058396021930384,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_n_app_qty_7d,0.4058396021930384,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_rej_qty_30d,0.4110671936758893,not_unique,0.0,0.0,40.64361572265625,0.0
tpay_all_accfund_rej_amt_30d,0.4110671936758893,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_rej_amt_30d,0.4110671936758893,not_unique,,0.0,21.31256103515625,6.675861967207907e-06
tpay_all_accfund_rej_qty_30d,0.4110671936758893,not_unique,,0.0,0.0,0.0
tpay_fp_tc_y_app_qty_90d,0.41285222491393603,not_unique,0.0,0.0,0.937577486038208,0.0
tpay_fp_tc_y_app_amt_90d,0.41285222491393603,not_unique,0.0,0.0,0.20229756832122803,0.0
tpay_fp_tc_y_app_max_amt_90d,0.41285222491393603,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_y_app_distinct_users_90d,0.41285222491393603,not_unique,,0.0,0.0,0.0
tpay_fp_tc_any_y_app_qty_30d,0.41425474945811547,not_unique,0.0,0.019974705,0.0,0.0
tpay_fp_tc_any_y_app_amt_30d,0.41425474945811547,not_unique,,0.0,1.713573694229126,0.0
tpay_fp_tc_any_y_app_distinct_users_30d,0.41425474945811547,not_unique,,0.0,0.0,0.0
tpay_fp_dev_y_app_amt_90d,0.4345276042330741,not_unique,0.0,0.0034682888,0.0,0.0
tpay_fp_dev_y_app_qty_90d,0.4345276042330741,not_unique,0.0,0.0,0.0,0.0
tpay_fp_dev_y_app_max_amt_90d,0.4345276042330741,not_unique,0.0,0.0,0.0,0.0
tpay_fp_dev_y_app_distinct_users_90d,0.4345276042330741,not_unique,,0.0,0.0,0.0
tpay_fp_tc_any_n_app_max_amt_90d,0.4562029835522121,not_unique,0.0,0.06140647,0.0,0.0
tpay_fp_tc_any_n_app_amt_90d,0.4562029835522121,not_unique,0.0,0.0,4.550024032592773,0.0
tpay_fp_tc_any_n_app_qty_90d,0.4562029835522121,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_any_n_app_distinct_users_90d,0.4562029835522121,not_unique,,0.0,0.3179440498352051,0.0
tpay_as_payer_accmoney_regular_distinct_users_7d,0.46602065536146886,not_unique,0.0,0.0,0.0,2.16665297909969e-05
tpay_as_payer_accmoney_regular_qty_7d,0.46602065536146886,not_unique,0.0,0.0,0.0,2.0289425970149048e-05
tpay_as_payer_accmoney_regular_amt_7d,0.46602065536146886,not_unique,0.0,0.0,0.0,1.2939166531239207e-05
tpay_as_payer_fp_tc_any_y_app_qty_90d,0.4676781843682264,not_unique,0.0,0.0,2.796781539916992,0.0
tpay_as_payer_fp_tc_any_y_app_distinct_users_90d,0.4676781843682264,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_any_y_app_amt_90d,0.4676781843682264,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_y_app_qty_90d,0.47660334055845976,not_unique,0.0,0.0,0.5548322200775146,1.0557175375060317e-05
tpay_as_payer_fp_tc_y_app_distinct_users_90d,0.47660334055845976,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_y_app_amt_30d,0.47660334055845976,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_tc_y_app_amt_90d,0.47660334055845976,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_y_app_qty_30d,0.47660334055845976,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_y_app_max_amt_30d,0.47660334055845976,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_y_app_distinct_users_30d,0.47660334055845976,not_unique,,0.0,0.0,0.0
crosses_qty_1h_oc_user_count,0.4917761060818564,not_unique,0.0,0.0,0.2101750373840332,0.0
tpay_fp_tc_n_rej_qty_90d,0.49343363508861404,not_unique,0.0,0.0,0.5572648048400879,0.0
tpay_fp_tc_n_rej_amt_90d,0.49343363508861404,not_unique,0.0,0.0,0.0,2.0629696399772903e-05
tpay_as_payer_accmoney_regular_app_qty_7d,0.4972587020272855,not_unique,0.0,0.0,0.0,3.0877631221910986e-05
tpay_as_payer_accmoney_regular_app_amt_7d,0.4972587020272855,not_unique,0.0,0.0,0.0,1.5297812368942084e-05
tpay_fp_dev_y_app_qty_30d,0.5000637511156445,not_unique,0.0,0.0,0.03379249572753906,0.0
tpay_fp_dev_y_app_distinct_users_30d,0.5000637511156445,not_unique,0.0,0.0,0.0,7.24950729435452e-06
tpay_fp_dev_y_app_max_amt_30d,0.5000637511156445,not_unique,0.0,0.0,0.0,0.0
tpay_fp_dev_y_app_amt_30d,0.5000637511156445,not_unique,0.0,0.0,0.0,0.0
tpay_all_accfund_amt_1d,0.5138339920948616,not_unique,0.0,0.022634342,1.0978901386260986,8.772818025140528e-06
tpay_all_accfund_qty_1d,0.5138339920948616,not_unique,,0.0,0.07899662107229233,1.3532891353789559e-05
tpay_fp_tc_n_app_amt_30d,0.5170215478770879,not_unique,0.0,0.0,0.0,2.4935120816944266e-05
tpay_fp_tc_n_app_distinct_users_30d,0.5170215478770879,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_n_app_qty_30d,0.5170215478770879,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_fp_dev_y_app_amt_90d,0.5209741170470483,not_unique,0.0,0.0,3.123965263366699,0.0
tpay_as_payer_fp_dev_y_app_qty_90d,0.5209741170470483,not_unique,0.0,0.0,0.0,2.4048714523508067e-05
tpay_as_payer_fp_dev_y_app_distinct_users_90d,0.5209741170470483,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_qty_1d,0.5213566237409155,not_unique,0.0,0.0,0.0,7.600505970310103e-06
tpay_dcard_accfund_amt_1d,0.5213566237409155,not_unique,,0.03696179,0.04066228121519089,2.7918376850163498e-05
tpay_as_payer_card_regular_amt_7d,0.5232691572102512,not_unique,0.0,0.0,0.6264272928237915,0.0
tpay_as_payer_card_regular_qty_7d,0.5232691572102512,not_unique,0.0,0.0,0.0,2.3981706323250474e-05
tpay_as_payer_card_regular_distinct_users_7d,0.5232691572102512,not_unique,0.0,0.0,0.0,0.0
tpay_fp_dev_n_app_amt_30d,0.5288792553869692,not_unique,0.0,0.019028671,0.0,0.0
tpay_fp_dev_n_app_qty_30d,0.5288792553869692,not_unique,0.0,0.0,0.0,8.368677828935015e-06
tpay_fp_dev_n_app_distinct_users_30d,0.5288792553869692,not_unique,0.0,0.0,0.0,0.0
tpay_fp_dev_n_rej_amt_90d,0.5298992732372816,not_unique,0.0,0.037475273,0.02462729811668396,0.0
tpay_fp_dev_n_rej_qty_90d,0.5298992732372816,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_any_n_rej_amt_90d,0.5407369628968507,not_unique,0.0,0.0,2.0141937732696533,0.0
tpay_fp_tc_any_n_rej_qty_90d,0.5407369628968507,not_unique,0.0,0.0,0.0,0.0
tpay_any_free_pass_ratio_over_total_7d,0.5418844829784522,not_unique,0.0,0.0,0.0,0.0
tpay_fp_any_y_app_qty_7d,0.5418844829784522,not_unique,0.0,0.0,0.0,0.0
tpay_any_free_pass_ratio_over_free_pass_aplicable_7d,0.5418844829784522,not_unique,0.0,0.0,0.0,0.0
tpay_fp_any_y_app_distinct_users_7d,0.5418844829784522,not_unique,0.0,0.0,0.0,0.0
tpay_fp_any_y_app_amt_7d,0.5418844829784522,not_unique,0.0,0.0,0.0,0.0
tpay_all_rej_distinct_users_7d,0.544434527604233,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_all_regular_canc_qty_90d,0.5466020655361469,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_all_regular_canc_amt_90d,0.5466020655361469,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_rej_amt_7d,0.5517021547877088,not_unique,0.0,0.0,0.0,0.0
tpay_dcard_accfund_rej_qty_7d,0.5517021547877088,not_unique,0.0,0.0,0.0,0.0
tpay_all_accfund_rej_amt_7d,0.5517021547877088,not_unique,,0.0,5.854372024536133,0.0
tpay_all_accfund_rej_qty_7d,0.5517021547877088,not_unique,,0.0,0.0,0.0
tpay_fp_tc_any_n_app_max_amt_30d,0.5652173913043479,not_unique,0.0,0.004906813,0.0,0.0
tpay_fp_tc_any_n_app_amt_30d,0.5652173913043479,not_unique,0.0,0.0,0.047722816467285156,0.0
tpay_fp_tc_any_n_app_qty_30d,0.5652173913043479,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_any_n_app_distinct_users_30d,0.5652173913043479,not_unique,,0.0,0.0,0.0
tpay_as_payer_all_regular_rej_amt_30d,0.5663649113859492,not_unique,0.0,0.0,1.0630890130996704,0.0
tpay_as_payer_all_regular_rej_qty_30d,0.5663649113859492,not_unique,0.0,0.0,0.0,0.0
crosses_qty_1h_od_user_count,0.5749075608823154,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_any_y_app_qty_7d,0.5805176590590335,not_unique,0.0,0.0,0.0,2.372675608080993e-05
tpay_fp_tc_any_y_app_amt_7d,0.5805176590590335,not_unique,0.0,0.0,0.0,0.0
tpay_fp_tc_any_y_app_distinct_users_7d,0.5805176590590335,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_card_regular_rej_amt_30d,0.5819201836032131,not_unique,0.0,0.0,0.07023891061544418,0.0
tpay_as_payer_card_regular_rej_qty_30d,0.5819201836032131,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_all_regular_qty_1d,0.5936503888818054,not_unique,0.0,0.0,1.2339165210723877,0.0
tpay_as_payer_all_regular_amt_1d,0.5936503888818054,not_unique,0.0,0.0,0.0,0.0
tpay_as_payer_all_regular_distinct_users_1d,0.5936503888818054,not_unique,0.0,0.0,0.0,0.0
tpay_all_rej_hr_distinct_users_90d,0.5953079178885631,not_unique,0.0,0.0,0.0,0.0
points,0.6029580517659059,not_unique,0.0,0.36900777,13.052885055541992,0.0008279041696400417
