feature,missing_value
tpay_as_payer_fp_tc_n_app_distinct_users_7d,0.4058396021930384
tpay_all_accfund_rej_qty_30d,0.4110671936758893
tpay_all_accfund_rej_amt_30d,0.4110671936758893
tpay_dcard_accfund_rej_qty_30d,0.4110671936758893
tpay_dcard_accfund_rej_amt_30d,0.4110671936758893
tpay_fp_tc_y_app_max_amt_90d,0.41285222491393603
tpay_fp_tc_y_app_distinct_users_90d,0.41285222491393603
tpay_fp_tc_y_app_amt_90d,0.41285222491393603
tpay_fp_tc_y_app_qty_90d,0.41285222491393603
tpay_fp_tc_any_y_app_distinct_users_30d,0.41425474945811547
tpay_fp_tc_any_y_app_qty_30d,0.41425474945811547
tpay_fp_tc_any_y_app_amt_30d,0.41425474945811547
tpay_fp_dev_y_app_qty_90d,0.4345276042330741
tpay_fp_dev_y_app_max_amt_90d,0.4345276042330741
tpay_fp_dev_y_app_distinct_users_90d,0.4345276042330741
tpay_fp_dev_y_app_amt_90d,0.4345276042330741
tpay_fp_tc_any_n_app_max_amt_90d,0.4562029835522121
tpay_fp_tc_any_n_app_distinct_users_90d,0.4562029835522121
tpay_fp_tc_any_n_app_qty_90d,0.4562029835522121
tpay_fp_tc_any_n_app_amt_90d,0.4562029835522121
tpay_as_payer_accmoney_regular_qty_7d,0.46602065536146886
tpay_as_payer_accmoney_regular_distinct_users_7d,0.46602065536146886
tpay_as_payer_accmoney_regular_amt_7d,0.46602065536146886
tpay_as_payer_fp_tc_any_y_app_distinct_users_90d,0.4676781843682264
tpay_as_payer_fp_tc_any_y_app_amt_90d,0.4676781843682264
tpay_as_payer_fp_tc_any_y_app_qty_90d,0.4676781843682264
tpay_fp_tc_y_app_distinct_users_30d,0.47660334055845976
tpay_as_payer_fp_tc_y_app_distinct_users_90d,0.47660334055845976
tpay_as_payer_fp_tc_y_app_amt_90d,0.47660334055845976
tpay_as_payer_fp_tc_y_app_qty_90d,0.47660334055845976
tpay_fp_tc_y_app_amt_30d,0.47660334055845976
tpay_fp_tc_y_app_qty_30d,0.47660334055845976
tpay_fp_tc_y_app_max_amt_30d,0.47660334055845976
crosses_qty_1h_oc_user_count,0.4917761060818564
tpay_fp_tc_n_rej_qty_90d,0.49343363508861404
tpay_fp_tc_n_rej_amt_90d,0.49343363508861404
tpay_as_payer_accmoney_regular_app_amt_7d,0.4972587020272855
tpay_as_payer_accmoney_regular_app_qty_7d,0.4972587020272855
tpay_fp_dev_y_app_qty_30d,0.5000637511156445
tpay_fp_dev_y_app_distinct_users_30d,0.5000637511156445
tpay_fp_dev_y_app_amt_30d,0.5000637511156445
tpay_fp_dev_y_app_max_amt_30d,0.5000637511156445
tpay_all_accfund_amt_1d,0.5138339920948616
tpay_all_accfund_qty_1d,0.5138339920948616
tpay_fp_tc_n_app_amt_30d,0.5170215478770879
tpay_fp_tc_n_app_qty_30d,0.5170215478770879
tpay_fp_tc_n_app_distinct_users_30d,0.5170215478770879
tpay_as_payer_fp_dev_y_app_qty_90d,0.5209741170470483
tpay_as_payer_fp_dev_y_app_amt_90d,0.5209741170470483
tpay_as_payer_fp_dev_y_app_distinct_users_90d,0.5209741170470483
tpay_dcard_accfund_amt_1d,0.5213566237409155
tpay_dcard_accfund_qty_1d,0.5213566237409155
tpay_as_payer_card_regular_distinct_users_7d,0.5232691572102512
tpay_as_payer_card_regular_amt_7d,0.5232691572102512
tpay_as_payer_card_regular_qty_7d,0.5232691572102512
tpay_fp_dev_n_app_qty_30d,0.5288792553869692
tpay_fp_dev_n_app_amt_30d,0.5288792553869692
tpay_fp_dev_n_app_distinct_users_30d,0.5288792553869692
tpay_fp_dev_n_rej_qty_90d,0.5298992732372816
tpay_fp_dev_n_rej_amt_90d,0.5298992732372816
tpay_fp_tc_any_n_rej_qty_90d,0.5407369628968507
tpay_fp_tc_any_n_rej_amt_90d,0.5407369628968507
tpay_any_free_pass_ratio_over_free_pass_aplicable_7d,0.5418844829784522
tpay_fp_any_y_app_distinct_users_7d,0.5418844829784522
tpay_any_free_pass_ratio_over_total_7d,0.5418844829784522
tpay_fp_any_y_app_qty_7d,0.5418844829784522
tpay_fp_any_y_app_amt_7d,0.5418844829784522
tpay_all_rej_distinct_users_7d,0.544434527604233
tpay_as_payer_all_regular_canc_amt_90d,0.5466020655361469
tpay_as_payer_all_regular_canc_qty_90d,0.5466020655361469
tpay_dcard_accfund_rej_qty_7d,0.5517021547877088
