feature,unique_value
tpay_fp_dev_n_rej_hr_qty_7d,not_unique
tpay_fp_tc_any_n_app_qty_30d,not_unique
tpay_new_dev_rej_hr_amt_7d,not_unique
tpay_api_rej_amt_90d,not_unique
tpay_registered_ratio_over_total_90d,not_unique
tpay_on_app_qty_1d,not_unique
tpay_new_user_rej_hr_distinct_users_30d,not_unique
tpay_as_payer_card_transfer_amt_30d,not_unique
tpay_all_accfund_qty_30d,not_unique
tpay_all_accfund_rej_qty_30d,not_unique
tpay_d0_app_distinct_users_7d,not_unique
tpay_as_payer_fp_tc_y_app_amt_90d,not_unique
tpay_as_payer_card_regular_amt_90d,not_unique
anch_max_dist,not_unique
tpay_all_app_amt_7d,not_unique
tpay_as_payer_fp_tc_n_app_amt_90d,not_unique
growth_rate_1h_oc_1d,not_unique
tpay_fp_tc_any_n_rej_hr_qty_90d,not_unique
tpay_fp_user_y_app_amt_30d,not_unique
anch_pay_qty,not_unique
tpay_registered_app_distinct_users_90d,not_unique
tpay_fp_doc_n_app_max_amt_7d,not_unique
tpay_on_app_qty_30d,not_unique
tpay_fp_doc_n_app_distinct_users_7d,not_unique
tpay_as_payer_accmoney_regular_amt_7d,not_unique
tpay_as_payer_fp_doc_n_app_distinct_users_1d,not_unique
tpay_fp_tc_any_n_app_max_amt_90d,not_unique
tpay_fp_doc_n_app_distinct_users_30d,not_unique
tpay_fp_tc_any_n_app_max_amt_30d,not_unique
tpay_as_payer_all_transfer_distinct_users_90d,not_unique
tpay_off_rej_qty_7d,not_unique
tpay_on_rej_amt_7d,not_unique
tpay_fp_tc_any_n_rej_hr_amt_90d,not_unique
tpay_all_app_distinct_users_30d,not_unique
tpay_dcard_accfund_amt_90d,not_unique
tpay_all_transfer_qty_90d,not_unique
tpay_registered_app_qty_1d,not_unique
tpay_card_transfer_qty_1d,not_unique
tpay_as_payer_all_regular_app_qty_7d,not_unique
tpay_fp_user_n_rej_hr_qty_1d,not_unique
tpay_all_rej_hr_distinct_users_90d,not_unique
tpay_as_payer_card_transfer_canc_amt_90d,not_unique
tpay_fp_tc_any_n_rej_amt_30d,not_unique
tpay_fp_user_n_app_max_amt_7d,not_unique
tpay_off_rej_amt_30d,not_unique
tpay_dcard_accfund_canc_amt_30d,not_unique
tpay_registered_rej_hr_distinct_users_7d,not_unique
tpay_new_user_rej_hr_qty_7d,not_unique
tpay_as_payer_fp_tc_any_n_app_qty_30d,not_unique
