feature,unique_value
fl_np_device_ml,False
ctx_receiver_id_low_risk_flex_default,True
phd_amt_new_user_same_collector_1h,False
phcpf_amt_ip_prm_7d,False
fl_np_street_number_2d,True
phcpf_tcs_ria_30d,False
vop_approv_amount_af_dc_30d,False
phcpf_amt_300_c_30d,False
phd_dist_users_new_30d,False
phcpf_amt_300_ref_90d,False
ph_diff_avg_same_collector_1d,False
ph_count_cc_6h,False
fl_list_device_blc,False
bin_ib_banco_galicia,True
ph_count_cc_new_dev_30d,False
phtc_qty_installments_6_90d,False
phcpf_amt_50_rcfa_7d,False
phcpf_pays_approb_doc_number_70d,False
ae_cant_mails,False
ph_tcs_c_30d,False
ph_others_30d,False
phphone_count_cc_type_1d,False
phtc_amt_500_c_60d,False
ph_amt_50_c_1d,False
phtc_amt_150_ria_90d,False
vop_digcry_app_qty_30d,False
phd_qty_same_collector_12h,False
ph_qty_installments_2_1d,False
phtc_amt_ip_prm_7d,False
nmdml_m_samsung,False
phcpf_amt_50_cbk_30d,False
growth_rate_1h_ht_15d,False
fl_hap_tc_80d,False
nmdml_resolution_1080x1920,False
phcpf_count_custs_new_rej_15d,False
phcpf_amt_300_ip_o_15d,True
phtc_qty_cbp_60d,False
ph_qty_installments_1_1d,False
phtc_amt_50_ria_60d,False
ph_qty_same_rec_rate_1d_30d,False
ctx_client_id_6265599018097609,True
chn_app_avg_distance_low_100,False
growth_rate_1h_oc_is_missing,False
vop_bpp_ref_qty_90d,False
phd_amt_new_user_recharge_rate_15d_90d,False
fl_street_number_2d,True
phtc_amt_750_app_acc_30d,False
fl_geo_point,True
phcpf_diff_avg_1d,False
phcpf_tcs_rhr_1d,False
bin_ib_aec_mexico,True
vop_ratio_ref_amount_7d,False
phcpf_tcs_cbk_90d,False
phphone_tcs_bf_1d,False
bin_ib_mercantil,True
phtc_amt_150_ip_o_7d,True
phtc_amt_ip_prm_1d,False
ctx_receiver_id_216155627,True
bin_ib_oman,True
phtc_dist_dml_no_free_pass_user_same_collector_15d,False
ctx_receiver_id_202726084,True
vop_digcry_app_amount_3d,False
phtc_rate_amt_new_user_15d_90d,False
bin_ib_cu_electronic,True
phd_amt_90d,False
fl_buy_cust_blc_2d,False
phcpf_qty_ip_o_90d,True
phtc_dist_dml_recharge_15d,False
op_amount_mon_transfer,False
ctx_receiver_id_cbk_avg_amount_20,True
phtc_qty_imp_1d,False
phtc_qty_cbp_90d,False
phphone_tcs_c_7d,False
fl_np_cust,False
vop_bpp_ref_qty_7d,False
ph_amt_150_app_acc_60d,False
phd_qty_recharge_dist_new_user_15d,False
phcpf_avg_amount_7d,False
sfp_had_discount,False
fl_buy_doc_grl_2d,True
ph_amt_recharge_rate_1d_15d,False
nmdml_model_sm_g610m,False
phtc_dist_dml_same_collector_1h,False
op_qty_same_seller_a80_10d,False
ph_qty_ip_prm_60d,False
phtc_dist_new_user_recharge_1h,False
fl_np_doc,False
fl_sell_cust_blc,False
ctx_receiver_id_coupons_7,True
bin_var_app_amt_2d_7d,False
vop_ratio_rej_hrisk_amount_7d,False
ph_qty_shipping_cost_30d,False
dml_resolution_cbk_ratio30,False
ph_amt_ref_60d,False
dml_age_since_payment_less_10,True
phcpf_tcs_cbk_60d,False
ph_amt_1000_ip_o_90d,True
vop_ratio_cbk_amount_3d,True
ctx_marketplace_id_andreani,True
phphone_fcc_device_ml_null_30d,False
bin_var_amt_fpdv_7d_30d,False
ph_qty_dist_new_dml_no_free_pass_tc_15d,False
vop_rej_hrisk_amount_90d,False
fl_np_zip_code_15d,True
phcpf_amt_300_ip_prm_1d,False
phcpf_amt_750_rcfa_15d,False
ctx_marketplace_id_mp-mkt-3498004374981521,True
phtc_amt_app_acc_30m,False
phcpf_amt_app_acc_60d,False
vop_digcry_app_amount_30d,False
phphone_tcs_ip_prm_1d,True
ctx_pm_id_is_diners_deriv,True
ph_qty_installments_1_7d,False
phtc_qty_dist_dml_no_free_pass_dml_1d,False
fl_list_device_grl_90d,False
ctx_client_id_972928716804730,True
phtc_amt_new_dml_same_collector_90d,False
phcpf_amt_50_ip_prm_90d,False
bin_var_qty_fpdv_2d_30d,False
phphone_avg_amount_7d,False
ph_dist_dml_same_collector_1h,False
vop_ratio_cbk_qty_7d,True
ctx_pm_id_is_other_card,False
bin_ib_banamex,True
ctx_client_id_is_null,True
phcpf_count_cc_new_rej_6h,False
chn_has_not_payment_older_30d,False
bin_var_app_qty_fpdv_2d_30d,False
phtc_amt_1000_ref_30d,False
ph_amt_500_rhr_1d,False
phtc_avg_amount_1d,False
ph_amt_500_app_acc_1d,True
phphone_std_amount_30d,False
vop_ratio_bpp_ref_qty_7d,False
ph_fcc_device_ml_null_1d,False
fl_buy_doc_blc_7d,False
ph_amt_150_imp_7d,True
pr_tpn_intangible_1d_mt,False
phtc_amt_50_imp_30d,False
phtc_qty_ria_7d,False
vop_ref_amount_7d,False
phcpf_amt_300_ip_o_30d,True
phd_canc_qty_30d,False
fl_list_doc_grl_7d,True
phtc_amt_same_collector_rate_1d_90d,False
ph_amt_1d,False
vop_amount_30d,False
phcpf_tcs_cbp_1d,False
ph_qty_dist_new_dml_15d,False
fl_list_device_grl_15d,True
phcpf_amt_150_ria_15d,False
bin_var_app_amt_2d_30d,False
fl_blc_tko_manual_same_user_qty,False
phtc_qty_diff_installments_90d,False
bin_ib_itaucard,True
cl_nickname_changes_qty_7d,True
phtc_amt_new_user_same_collector_rate_1d_15d,False
phtc_qty_dist_new_user_no_free_pass_dml_1d,False
ph_amt_recharge_rate_1h_90d,False
phtc_qty_90d,False
fl_np_tc_30d,False
phtc_amt_ip_o_30d,True
dml_ua_is_mercadolibre,True
nmdml_has_gyroscope_and,False
ctx_client_id_7477313924118615,True
nmdml_pago_upd_7dto15d,False
nmdml_dev_over_90d,False
ctx_client_id_5488209127167628,True
phcpf_tcs_cbp_7d,False
phcpf_tcs_ip_prm_7d,False
fl_hap_device_80d,False
ph_count_cc_1h,False
fl_cta_ato_2d,True
vop_cbk_qty_7d,True
fl_list_device_blc_90d,False
phcpf_amt_300_rcfa_1d,False
fl_buy_device_grl_90d,False
ctx_marketplace_id_mp-mkt-396689149008966,True
ph_hap_user_30d,False
ctx_receiver_id_113686823,True
phcpf_amt_50_rcfa_1d,False
phtc_count_users_new_dev_12h,False
phtc_qty_app_same_collector_7d,False
ph_qty_installments_3_60d,False
ph_amt_150_ref_1d,False
phtc_amt_500_c_7d,False
vop_ratio_accmny_qty_30d,False
ph_amt_c_60d,False
phd_amt_recharge_rate_1h_90d,False
ph_count_cc_new_dev_15d,False
vop_digcry_app_qty_90d,False
fl_buy_doc_grl_7d,True
ctx_client_id_8438982943868380,True
ph_qty_1h,False
ph_amt_shipping_cost_60d,False
phcpf_amt_bf_7d,False
ctx_is_app_native,True
ph_amt_500_ref_7d,False
ph_qty_rej_state_30d,False
phtc_log_veloc_1h,False
dml_resolution_cbk_ratio20,False
ctx_receiver_id_electro_3,True
phtc_amt_150_ip_prm_60d,False
ph_qty_recharge_15d,False
bin_has_resto_card,False
vop_ratio_tpv_tpn_3d,False
bin_ib_other,False
bin_ib_citibank_peru,False
ctx_client_id_1511,True
dml_is_desktop_navigation,True
vop_approv_qty_30d,False
phphone_qty_rhr_1d,False
cl_phone_changes_qty_1d,False
vop_is_missing,False
ctx_receiver_id_229767394,True
phtc_amt_50_c_60d,False
vop_ratio_approved_amount_30d,False
vop_approv_amount_7d,False
phtc_amt_150_bf_60d,False
ctx_site_is_mlu,True
ph_amt_1000_bf_90d,False
ctx_is_friday,False
phcpf_qty_ref_7d,False
phd_qty_new_user_recharge_1h,False
dml_ua_is_null,True
dml_age_since_payment_less_300,False
phcpf_count_cc_type_7d,False
fl_p_street_number,True
nmdml_m_lg_electronics,False
ph_qty_ip_o_90d,True
vop_ratio_digcry_qty_7d,False
phtc_dist_new_user_same_collector_1d,False
vop_bpp_ref_qty_3d,False
ctx_receiver_id_tickets_2,True
nmdml_m_lge,False
ctx_pm_id_is_maestro_deriv,True
ph_amt_150_ria_1d,False
ctx_client_id_7412394610248511,True
phcpf_qty_imp_7d,False
ph_qty_recharge_1d,False
phtc_amt_1000_ref_90d,False
phtc_amt_new_user_same_collector_90d,False
phtc_count_devices_ml_90d,False
pr_tpv_servicio_1d_mt,False
fl_buy_cust_blc,False
phcpf_amt_ro_1d,False
ph_amt_round_15d,False
nmdml_has_other_lang_device_ios,False
phtc_dist_doc_same_collector_1h,False
ph_qty_app_acc_15m,False
ph_amt_750_ria_90d,False
fl_gp_c_p_2d,True
bin_var_amt_nd_2d_30d,False
ph_amt_1h,False
dml_fonts_hash_null,True
phcpf_amt_750_rcfa_90d,False
ph_amt_ria_60d,False
dml_section_choff,True
phd_dist_tc_same_collector_1h,False
crosses_qty_1h_od_fraud_almost_user_count,False
phcpf_tcs_ria_1d,False
bin_ib_santander,False
ph_count_cc_7d,False
phcpf_qty_ro_1d,False
phtc_amt_750_c_90d,False
phtc_qty_recharge_rate_1h_1d,False
ctx_marketplace_id_mshops_mla,True
ctx_is_tim,False
phtc_dist_dml_new_user_no_free_pass_dml_recharge_12h,False
dml_ips_qty,False
pr_is_missing,False
phcpf_amt_300_ria_7d,False
ctx_has_approved_payment_tc,False
fl_np_ip_2d,True
ctx_receiver_id_247206287,True
cl_city_changes_qty_90d,False
vop_can_qty_30d,False
phtc_amt_new_dml_recharge_rate_1h_1d,False
fl_wit_device_grl_2d,True
ctx_client_id_3097991601361288,True
chn_max_distance_app_low,False
phtc_amt_50_ip_prm_30d,False
ph_dist_tc_no_free_pass_dml_recharge_15d,False
fl_pay_cust_blc,False
ph_tcs_rcfa_1d,False
phcpf_amt_750_ip_o_15d,True
phcpf_count_cc_new_rej_7d,False
ph_amt_500_imp_90d,True
fl_p_name_90d,True
fl_pay_cust_blc_30d,False
ctx_op_dol_amount_user_balance_max,True
vop_rej_amount_3d,False
dml_section_payments,True
ctx_receiver_id_cbk_amount_60,True
chn_avg_length_13_23,False
ph_same_rec_qty_app_90d,False
growth_rate_1h_oc_1d,False
ctx_client_id_3387790876281875,True
cl_address_changes_qty_30d,False
phcpf_amt_150_ria_1d,False
pr_tpn_intangible_7d_total,False
dml_has_plugin_flash,True
phtc_dist_dml_recharge_1h,False
phcpf_qty_ref_90d,False
phcpf_amt_50_cbk_15d,False
fl_sell_cust_grl_2d,False
phtc_amt_new_user_recharge_1h,False
cl_nickname_changes_qty_1d,True
dml_ua_is_mobile_safari,True
fl_wit_doc_blc_7d,False
ph_amt_ip_o_60d,True
bin_ib_fininvest,True
ctx_receiver_id_clickbus,True
phcpf_tcs_rcfa_7d,False
ph_amt_750_rcfa_30d,False
bin_ib_icbc_bank,False
fl_pay_device_blc_30d,False
ctx_marketplace_id_mp-mkt-7082219187153613,True
ph_amt_50_ip_prm_1d,False
phtc_qty_same_collector_1h,False
ctx_marketplace_id_mp-mkt-3362814541380534,True
vop_ratio_rej_amount_30d,False
bin_ib_portoseg,False
phd_amt_same_collector_12h,False
phtc_count_users_same_seller_new_15d,False
ph_qty_app_acc_30d,False
ctx_receiver_id_coupons_9,True
phtc_amt_50_rcfa_30d,False
phcpf_amt_ria_60d,False
vop_rej_qty_30d,False
ph_amt_25_ip_o_7d,True
phcpf_avg_amount_30d,False
phtc_diff_avg_same_collector_7d,False
fl_list_cust_grl_30d,False
fl_np_name_90d,False
ph_qty_cbk_1d,True
phcpf_amt_150_ip_prm_1d,False
fl_pay_device_grl_15d,True
phcpf_amt_750_c_15d,False
phtc_qty_dist_new_dml_no_free_pass_user_90d,False
ph_qty_same_rec_rate_15d_30d,False
ctx_receiver_id_10022007,True
ph_qty_recharge_rate_1h_1d,False
phphone_qty_rcfa_90d,False
ph_amt_1000_bf_30d,False
nmdml_dev_upd_7dto15d,False
ctx_receiver_id_166534555,True
phtc_dist_doc_new_3d,False
ctx_receiver_id_travel_agencies_1,True
nmdml_age,False
phtc_amt_new_dml_same_collector_rate_1d_90d,False
phtc_amt_500_rcfa_30d,False
phtc_dist_dml_no_free_pass_user_recharge_12h,False
ph_count_cc_15d,False
phcpf_tcs_ref_7d,False
phcpf_amt_750_ro_1d,False
ph_qty_bf_90d,False
phd_qty_new_user_same_collector_1d,False
phtc_amt_cbk_1d,True
phtc_amt_500_ro_30d,False
phtc_qty_dist_dml_no_free_pass_dml_15d,False
phtc_amt_500_app_acc_7d,False
phtc_qty_installments_10_1d,False
ph_diff_avg_same_collector_7d,False
phcpf_amt_300_ip_o_1d,True
ph_amt_rhr_1d,False
phcpf_tcs_c_30d,False
phtc_amt_1000_app_acc_60d,False
phphone_qty_c_90d,False
nmdml_aspect_ratio_cbk_amount_2,False
bin_is_in_group1_bin,False
bin_ib_emporiki,True
phcpf_qty_ro_30d,False
nmdml_ips_qty,False
ctx_client_id_720447464583773,True
phtc_amt_750_ref_30d,False
ph_others_7d,False
ctx_receiver_id_206859216,True
phtc_dist_doc_new_30d,False
fl_p_zip_code_15d,True
ctx_installments,False
ph_dist_tc_no_free_pass_dml_same_collector_12h,False
remedy_has_money_in_mid,False
ph_amt_round_30d,False
dml_os_windows_server,True
fl_buy_device_blc_7d,False
fl_doc_fraud_15d,False
free_pass_phone_card,False
vop_accmny_qty_3d,False
ctx_client_id_4009934937588690,True
phphone_tcs_app_acc_7d,False
ctx_receiver_id_medium_risk_tickets,True
phcpf_qty_older_70d,False
ctx_marketplace_id_mp-mkt-915053222069643,True
phtc_count_users_same_seller_1d,False
phd_dist_tcs_1h,False
phtc_rate_amt_new_user_90d,False
pr_tpn_servicio_1d_mt,False
ph_amt_1000_rcfa_90d,False
phtc_count_users_new_12h,False
ph_qty_installments_4_7d,False
phtc_dist_new_user_recharge_12h,False
remedy_has_random_ch,False
nmdml_model_n61ap,False
ph_qty_ria_30d,False
fl_buy_device_grl_2d,True
phtc_amt_750_bf_90d,True
phcpf_tcs_imp_15d,False
phcpf_count_cc_type_12h,False
vop_accmny_qty_30d,False
ph_qty_installments_12_60d,False
fl_hap_device_55d,False
fl_sell_cust_blc_90d,False
ctx_receiver_id_254303242,True
ctx_client_id_6794327405157763,True
ph_qty_app_acc_1d,False
phd_amt_same_collector_15d,False
phcpf_qty_cbk_60d,False
ph_amt_1000_ria_60d,False
ctx_client_id_7443523560447102,True
dml_hit_80to90,False
ph_amt_500_ref_1d,False
fl_wit_cust_blc_15d,False
phd_dist_tc_no_free_pass_user_recharge_1h,False
bin_has_standard_card,True
ph_qty_cbk_90d,False
